Date,Open,High,Low,Close,Volume
2022-01-03,156.92,157.24,154.93,155.75,1103442.0
2022-01-04,157.55,160.36,157.21,159.0,1684639.0
2022-01-05,160.5,161.61,159.73,159.77,1838469.0
2022-01-06,163.23,163.28,161.72,162.33,1390210.0
2022-01-07,162.255,166.68,161.49,166.24,1699659.0
2022-01-10,167.62,168.31,162.93,164.06,1142228.0
2022-01-11,164.71,164.84,160.44,163.16,950531.0
2022-01-12,163.33,164.18,162.025,162.97,1060573.0
2022-01-13,163.41,164.71,162.55,163.05,864962.0
2022-01-14,162.51,163.51,161.19,163.21,1263219.0
2022-01-18,163.52,164.4,161.48,163.57,1646046.0
2022-01-19,164.73,164.73,160.07,160.07,1449544.0
2022-01-20,162.44,169.49,162.0,165.18,2831866.0
2022-01-21,165.33,167.08,162.26,162.61,2190024.0
2022-01-24,162.0,169.25,160.905,168.83,3233798.0
2022-01-25,168.59,169.5662,163.78,168.6,2210394.0
2022-01-26,168.34,169.49,166.32,167.86,2194110.0
2022-01-27,168.81,171.4637,164.6,165.66,2161876.0
2022-01-28,166.09,166.84,163.42,166.82,1233479.0
2022-01-31,164.88,166.34,163.73,166.18,1404118.0
2022-02-01,166.48,168.32,165.3546,167.99,1290270.0
2022-02-02,168.06,173.11,167.73,172.72,1827619.0
2022-02-03,173.2,173.825,171.79,172.07,1280314.0
2022-02-04,172.36,173.47,171.18,171.9,1615880.0
2022-02-07,171.69,172.56,169.23,171.33,1635025.0
2022-02-08,172.68,173.445,171.09,172.5,2331541.0
2022-02-09,173.05,174.26,172.245,172.73,1512475.0
2022-02-10,172.73,174.55,171.94,172.43,1587074.0
2022-02-11,171.69,173.9452,170.89,171.76,1460284.0
2022-02-14,172.71,173.39,168.8,170.77,1673375.0
2022-02-15,171.23,172.57,170.77,171.6,1174794.0
2022-02-16,170.9,173.18,170.83,172.27,1224584.0
2022-02-17,171.31,171.665,168.95,170.59,1126443.0
2022-02-18,169.46,172.005,169.45,170.63,1166355.0
2022-02-22,170.62,172.0532,169.52,171.08,1474965.0
2022-02-23,171.61,172.97,170.02,170.14,1374103.0
2022-02-24,166.25,166.79,162.8,166.5,2460895.0
2022-02-25,167.44,173.49,167.05,173.44,1508100.0
2022-02-28,167.55,172.06,167.55,171.83,1866586.0
2022-03-01,171.99,172.03,166.61,167.82,1677818.0
2022-03-02,168.81,174.615,168.69,173.68,1441749.0
2022-03-03,173.76,174.9,172.01,173.6,1170981.0
2022-03-04,171.21,173.96,169.51,173.4,1156801.0
2022-03-07,171.81,172.66,169.74,169.79,1394882.0
2022-03-08,170.57,172.82,168.28,168.45,1510317.0
2022-03-09,170.87,172.95,170.41,171.37,1358921.0
2022-03-10,169.33,172.27,169.2,171.89,1445853.0
2022-03-11,173.59,175.95,173.44,173.73,1391651.0
2022-03-14,175.58,178.61,175.28,177.18,1945565.0
2022-03-15,178.24,180.6561,177.15,180.19,1730555.0
2022-03-16,180.66,181.17,176.68,179.29,1923250.0
2022-03-17,178.88,181.1,176.46,181.03,1641899.0
2022-03-18,180.48,180.48,177.275,180.31,3884618.0
2022-03-21,181.45,183.46,181.11,182.54,1383927.0
2022-03-22,183.87,184.4,181.455,182.7,1421647.0
2022-03-23,182.52,183.83,181.53,181.62,937494.0
2022-03-24,182.13,184.36,181.26,184.22,959283.0
2022-03-25,184.19,187.78,184.04,187.75,851937.0
2022-03-28,187.98,187.98,185.56,186.76,593645.0
2022-03-29,187.6,187.61,182.7404,183.81,1369874.0
2022-03-30,183.76,185.57,183.075,185.55,959088.0
2022-03-31,185.96,186.52,182.71,182.73,1178097.0
2022-04-01,184.41,185.45,182.59,185.25,1079843.0
2022-04-04,185.0,185.0,181.51,181.82,1026170.0
2022-04-05,182.45,184.59,180.95,181.39,835424.0
2022-04-06,180.31,183.96,180.22,182.58,1021514.0
2022-04-07,182.25,182.8,180.08,182.09,874756.0
2022-04-08,183.74,185.22,182.16,184.86,1120587.0
2022-04-11,185.92,187.59,185.28,185.64,1219475.0
2022-04-12,184.55,187.02,184.41,184.94,1116674.0
2022-04-13,184.82,185.91,181.71,183.71,847338.0
