Date,Open,High,Low,Close,Volume
2022-01-03,52.07,52.56,51.98,52.44,18243160.0
2022-01-04,52.64,53.71,52.55,53.47,26376763.0
2022-01-05,53.84,54.64,53.51,54.02,28697297.0
2022-01-06,54.48,54.55,53.66,53.76,21563764.0
2022-01-07,53.26,54.36,53.26,54.24,26512543.0
2022-01-10,54.49,54.83,53.81,53.87,24929413.0
2022-01-11,53.92,54.08,53.16,53.59,18551721.0
2022-01-12,53.39,53.66,53.09,53.45,12778494.0
2022-01-13,53.515,54.03,53.175,53.52,18178175.0
2022-01-14,53.59,53.7,53.075,53.28,18695777.0
2022-01-18,53.1,53.57,52.58,53.43,21503648.0
2022-01-19,53.47,53.68,52.87,53.5,18369458.0
2022-01-20,53.49,53.94,53.08,53.4,24297090.0
2022-01-21,53.73,53.9,53.07,53.16,25294818.0
2022-01-24,53.11,53.71,52.2,52.96,32535047.0
2022-01-25,53.13,53.85,52.2619,52.9,32075942.0
2022-01-26,52.62,52.86,50.81,51.02,41504688.0
2022-01-27,50.91,52.07,50.81,51.19,35346510.0
2022-01-28,51.44,52.93,51.185,52.9,29490769.0
2022-01-31,52.52,53.32,52.21,53.23,25182366.0
2022-02-01,53.4,53.6,52.21,53.2,33045578.0
2022-02-02,53.56,54.28,53.3,53.8,24160192.0
2022-02-03,54.0,54.57,53.7,53.79,21219829.0
2022-02-04,53.52,53.83,53.225,53.31,16199779.0
2022-02-07,53.23,53.36,52.51,53.0,15438918.0
2022-02-08,53.01,53.17,52.575,52.82,13911675.0
2022-02-09,53.15,53.66,52.88,53.5,16449312.0
2022-02-10,53.34,53.54,52.9,53.04,18644434.0
2022-02-11,52.95,53.46,52.7,53.32,18833145.0
2022-02-14,53.25,53.45,52.5,53.27,16081702.0
2022-02-15,53.3,53.59,53.15,53.36,12827961.0
2022-02-16,53.19,53.7975,53.09,53.4,17277878.0
2022-02-17,53.1,53.59,52.78,53.58,17462469.0
2022-02-18,53.56,53.96,53.28,53.83,20298509.0
2022-02-22,54.0,54.03,53.59,53.9,19787737.0
2022-02-23,53.9,53.93,53.24,53.41,17841857.0
2022-02-24,52.97,53.16,51.71,52.59,30079681.0
2022-02-25,53.08,54.54,53.08,54.12,31444247.0
2022-02-28,53.8,54.1,53.4,53.67,30593850.0
2022-03-01,53.5,54.19,53.26,53.61,24693080.0
2022-03-02,53.67,54.41,53.53,54.14,20712857.0
2022-03-03,54.38,55.145,54.175,54.66,27577668.0
2022-03-04,54.43,55.39,54.255,55.11,26917793.0
2022-03-07,54.75,55.24,54.5,54.68,24962848.0
2022-03-08,54.96,55.3399,53.19,53.25,36526713.0
2022-03-09,53.7199,53.81,53.01,53.08,23049826.0
2022-03-10,53.0,53.34,52.78,53.23,17501823.0
2022-03-11,53.36,53.58,53.01,53.04,20838503.0
2022-03-14,53.43,53.67,52.4401,52.5,23124135.0
2022-03-15,52.69,53.0,52.21,52.76,20477588.0
2022-03-16,52.87,53.0,51.95,52.49,28500737.0
2022-03-17,52.48,52.54,51.995,52.36,22931522.0
2022-03-18,52.12,52.29,50.8,50.8,68384135.0
2022-03-21,51.37,51.81,50.97,51.1,39855123.0
2022-03-22,51.19,51.4597,50.95,51.0,28602576.0
2022-03-23,51.05,51.4563,50.96,50.97,25988810.0
2022-03-24,51.04,51.19,50.9254,51.0,21087318.0
2022-03-25,51.06,51.4577,50.97,51.28,18727021.0
2022-03-28,51.36,51.39,50.95,51.17,21688601.0
2022-03-29,51.32,51.34,50.96,51.25,28193434.0
2022-03-30,51.22,51.63,51.08,51.61,23821190.0
2022-03-31,51.66,51.7492,50.93,50.94,31027613.0
2022-04-01,51.02,52.185,50.815,52.12,30550316.0
2022-04-04,52.02,52.5,51.635,52.46,25800850.0
2022-04-05,52.2,52.9,52.13,52.78,22911183.0
2022-04-06,52.81,53.43,52.565,53.2,28661721.0
2022-04-07,52.45,52.98,52.04,52.67,22790553.0
2022-04-08,52.73,53.68,52.5,53.53,24852226.0
2022-04-11,53.87,54.7,53.71,53.9,33614948.0
2022-04-12,53.87,54.05,53.4222,53.67,21136405.0
2022-04-13,53.59,54.37,53.59,54.14,19797976.0
2022-04-14,54.0,54.19,53.78,53.83,16915086.0
