,Open,High,Low,Close,Volume
2022-01-03,52.26,53.18,52.26,53.06,7645217.0
2022-01-04,53.18,54.07,53.09,53.48,6744305.0
2022-01-05,53.69,54.8,53.58,54.0,8330905.0
2022-01-06,53.99,54.49,52.29,52.44,12076707.0
2022-01-07,52.24,54.15,51.9,53.84,7641974.0
2022-01-10,53.93,54.555,53.16,53.73,6738292.0
2022-01-11,53.98,55.0,53.62,54.33,6700632.0
2022-01-12,54.53,54.67,53.445,53.91,5280069.0
2022-01-13,54.19,54.715,53.56,54.19,7186539.0
2022-01-14,54.12,54.39,53.45,54.3,4473775.0
2022-01-18,54.09,54.35,53.2,53.52,5086992.0
2022-01-19,53.47,53.845,52.98,53.53,5468247.0
2022-01-20,53.53,54.27,53.02,53.18,5899511.0
2022-01-21,53.25,53.455,52.2,52.5,7789643.0
2022-01-24,52.41,52.77,50.62,52.38,7948129.0
2022-01-25,51.7,51.87,50.295,50.99,7352048.0
2022-01-26,50.99,51.51,49.19,49.76,8940972.0
2022-01-27,50.21,50.73,49.725,50.0,6016036.0
2022-01-28,49.94,50.49,49.32,50.46,5430373.0
2022-01-31,50.04,50.095,49.005,49.76,10730973.0
2022-02-01,49.325,49.91,49.2,49.75,6054537.0
2022-02-02,49.81,50.66,49.72,50.41,5927259.0
2022-02-03,50.55,50.97,49.39,49.5,5413342.0
2022-02-04,49.18,49.4,48.17,48.6,6438216.0
2022-02-07,48.86,49.46,48.34,49.09,5010238.0
2022-02-08,49.02,49.92,48.77,49.79,7479570.0
2022-02-09,49.81,50.19,49.4,49.99,10266506.0
2022-02-10,49.77,49.9127,49.03,49.22,7382618.0
2022-02-11,49.34,49.98,48.41,48.7,7927409.0
2022-02-14,48.99,49.02,46.82,47.36,6819687.0
2022-02-15,47.64,48.455,47.64,48.3,5061015.0
2022-02-16,48.11,48.645,47.515,47.88,4655443.0
2022-02-17,47.2,47.32,46.72,46.81,4414756.0
2022-02-18,46.63,47.37,46.24,46.61,4599051.0
2022-02-22,46.82,46.88,45.5406,45.79,7600014.0
2022-02-23,45.98,46.18,45.39,45.46,5040395.0
2022-02-24,45.01,45.44,43.9314,45.27,8433722.0
2022-02-25,45.4,46.445,45.37,46.2,5700024.0
2022-02-28,45.6,46.4,45.34,46.09,7033206.0
2022-03-01,45.91,46.08,44.59,45.01,5291965.0
2022-03-02,45.26,46.27,44.92,46.15,6247204.0
2022-03-03,46.755,47.01,46.19,46.72,7234332.0
2022-03-04,46.11,47.79,46.05,47.72,9602408.0
2022-03-07,47.44,48.47,46.95,46.99,6674395.0
2022-03-08,47.2,48.75,47.14,47.47,5710107.0
2022-03-09,48.51,48.83,47.63,48.12,5408382.0
2022-03-10,47.652,48.195,47.1,48.07,4999822.0
2022-03-11,48.42,48.97,47.38,47.44,5737993.0
2022-03-14,47.84,48.455,47.12,47.91,5277602.0
2022-03-15,48.08,48.43,47.625,48.17,3850198.0
2022-03-16,48.27,48.41,46.67,47.38,7484084.0
2022-03-17,46.95,47.8184,46.73,47.48,5736270.0
2022-03-18,47.35,47.45,46.47,47.36,11012615.0
2022-03-21,47.43,48.6175,47.085,47.38,5630560.0
2022-03-22,47.78,48.165,47.01,47.43,6979953.0
2022-03-23,47.28,47.6,46.31,46.74,7986702.0
2022-03-24,46.87,47.35,46.31,47.02,5413601.0
2022-03-25,47.03,47.775,46.911,47.12,4668217.0
2022-03-28,47.0,47.36,46.65,47.19,4496757.0
2022-03-29,47.594,47.84,47.0688,47.82,5122941.0
2022-03-30,47.82,48.48,47.29,47.46,8034400.0
2022-03-31,45.29,45.7414,44.17,44.77,23284745.0
2022-04-01,44.54,44.77,43.18,43.86,15009387.0
2022-04-04,43.84,44.05,42.9,43.4,9759313.0
2022-04-05,43.022,43.75,43.02,43.49,7868747.0
2022-04-06,43.22,44.76,43.0611,44.31,10504527.0
2022-04-07,44.43,45.21,43.695,45.11,9526359.0
2022-04-08,45.18,45.795,44.75,45.42,6164893.0
2022-04-11,45.49,46.265,44.34,44.43,7698530.0
2022-04-12,44.54,44.965,44.05,44.23,5168235.0
2022-04-13,44.42,47.11,44.06,44.6,12014101.0
2022-04-14,44.66,45.425,44.62,44.81,5289740.0
2022-04-18,44.71,44.97,44.305,44.5,3679131.0
2022-04-19,44.69,45.66,44.66,45.6,5328181.0
2022-04-20,45.86,46.75,45.79,46.54,5600634.0
2022-04-21,46.72,47.275,46.225,46.81,7106024.0
2022-04-22,46.62,46.8,45.5,45.54,5956532.0
2022-04-25,45.22,45.495,44.165,45.39,6572678.0
2022-04-26,45.1,45.905,44.86,44.87,6027058.0
2022-04-27,44.92,45.04,43.89,44.23,6936853.0
2022-04-28,44.48,44.895,44.11,44.53,6055505.0
2022-04-29,44.48,44.62,42.34,42.4,11835530.0
2022-05-02,42.63,42.9924,41.8,42.52,7691547.0
2022-05-03,42.79,43.29,42.4,42.94,6968837.0
2022-05-04,42.95,44.57,42.32,44.46,9179285.0
2022-05-05,44.28,44.35,43.375,43.78,7884992.0
2022-05-06,43.58,45.295,43.5,43.99,10631839.0
2022-05-09,43.87,44.535,43.55,43.85,8900432.0
2022-05-10,44.42,44.72,42.86,43.31,8095946.0
2022-05-11,43.51,44.29,43.215,43.35,6218420.0
2022-05-12,43.35,43.57,42.455,43.16,6545712.0
2022-05-13,43.5,43.705,42.97,43.55,5781807.0
2022-05-16,43.68,44.5,43.16,44.15,4919163.0
2022-05-17,44.25,44.96,43.69,44.94,7089842.0
2022-05-18,44.19,44.235,41.015,41.17,15164132.0
2022-05-19,40.56,41.05,39.76,40.61,8323615.0
2022-05-20,40.85,41.045,39.715,40.96,7370382.0
2022-05-23,41.35,42.4,41.28,42.15,6888729.0
